Línea,Patrón,Tipo,Contexto
3563,de de,CRÍTICO,"                    'opciones' => '{""opciones"": [""Mantengo la marcha hasta en..."
3607,de de,CRÍTICO,"                    'opciones' => '{""opciones"": [""Le explico el proceso compl..."
3815,de de,CRÍTICO,"                    'texto' => 'Tu compañero pochó llanta y te pide desviar tu r..."
3918,de de,CRÍTICO,"                    'texto' => 'Una compañera nueva se quedó sola con una fila g..."
3919,de de,CRÍTICO,"                    'opciones' => '{""opciones"": [""Abro mi caja para bajar la ..."
4183,de de,CRÍTICO,"                    'opciones' => '{""opciones"": [""Paro de entregar para conec..."
4249,de de,CRÍTICO,"                    'opciones' => '{""opciones"": [""Insisto en que cada vecino ..."
4270,de de,CRÍTICO,"                    'texto' => 'Una compañera de devoluciones se está agarrando ..."
4337,de de,CRÍTICO,"                    'opciones' => '{""opciones"": [""Paro la banda y sello bien ..."
4348,de de,CRÍTICO,"                    'opciones' => '{""opciones"": [""Paro de surtir mi pedido pa..."
4424,de de,CRÍTICO,"                    'texto' => 'El equipo de devoluciones quiere sellar las licu..."
3760,la la,BAJO,"                    'texto' => 'Escucho que en otra área hay fila larga y un com..."
1501,mis lo que,BAJO,"                    'opciones' => '{""opciones"": [""Me concentro en cumplir con..."
547,un no ,BAJO,"                    'opciones' => '{""opciones"": [""Le digo que tengo que regis..."
1413,un no ,BAJO,"                    'opciones' => '{""opciones"": [""Empiezo a usar el nuevo sis..."
1779,miden de ,BAJO,"                    'texto' => 'Ahora miden de rapidez personal que me pone much..."
4381,miden de ,BAJO,"                    'opciones' => '{""opciones"": [""Me desvío para llevarle gas..."
1248,con mis ,MEDIO,"                    'opciones' => '{""opciones"": [""Empiezo a usar las frases d..."
1347,con mis ,MEDIO,"                    'opciones' => '{""opciones"": [""Mantengo mi ritmo de trabaj..."
1479,con mis ,MEDIO,"                    'opciones' => '{""opciones"": [""Acomodo la mercancía siguie..."
1501,con mis ,MEDIO,"                    'opciones' => '{""opciones"": [""Me concentro en cumplir con..."
1534,con mis ,MEDIO,"                    'opciones' => '{""opciones"": [""Me organizo y asisto a la c..."
1644,con mis ,MEDIO,"                    'opciones' => '{""opciones"": [""Acomodo mis herramientas en..."
1714,con mis ,MEDIO,"                    'opciones' => '{""opciones"": [""Uso la frase exacta con el ..."
1747,con mis ,MEDIO,"                    'opciones' => '{""opciones"": [""Tomo mi posición en la nuev..."
2022,con mis ,MEDIO,"                    'opciones' => '{""opciones"": [""Le digo al supervisor la ho..."
2187,con mis ,MEDIO,"                    'opciones' => '{""opciones"": [""Le recuerdo que las auto-en..."
3827,con mis ,MEDIO,"                    'opciones' => '{""opciones"": [""Paro el cobro y le digo al ..."
